Image type,Feature Class,Feature Name,Segmentation_segment_IPH_lipid,Segmentation_segment_Fibrous,Segmentation_segment_Calcium
log-sigma-1-0-mm-3D,gldm,GrayLevelNonUniformity,34.76190476,28.25,2
log-sigma-1-0-mm-3D,gldm,GrayLevelVariance,0.0861678,0.548611111,13.30555556
log-sigma-1-0-mm-3D,gldm,HighGrayLevelEmphasis,3.714285714,7.222222222,51.33333333
log-sigma-1-0-mm-3D,gldm,LargeDependenceEmphasis,63.47619048,27.47222222,4.5
log-sigma-1-0-mm-3D,gldm,LargeDependenceHighGrayLevelEmphasis,249.3333333,236.0277778,150.3333333
log-sigma-1-0-mm-3D,gldm,LargeDependenceLowGrayLevelEmphasis,17.01190476,3.768422068,2.304607933
log-sigma-1-0-mm-3D,gldm,LowGrayLevelEmphasis,0.321428571,0.226176698,0.280418512
log-sigma-1-0-mm-3D,gldm,SmallDependenceEmphasis,0.026924895,0.167819845,0.402777778
log-sigma-1-0-mm-3D,gldm,SmallDependenceHighGrayLevelEmphasis,0.089842438,1.003337709,26.86111111
log-sigma-1-0-mm-3D,gldm,SmallDependenceLowGrayLevelEmphasis,0.01119551,0.051394313,0.052148935
log-sigma-1-0-mm-3D,glrlm,GrayLevelNonUniformity,25.28817196,23.41127862,1.908313908
log-sigma-1-0-mm-3D,glrlm,GrayLevelNonUniformityNormalized,0.787190812,0.371807393,0.165238241
log-sigma-1-0-mm-3D,glrlm,GrayLevelVariance,0.106404594,0.582299917,13.18857377
log-sigma-1-0-mm-3D,glrlm,HighGrayLevelRunEmphasis,3.632185177,7.061171614,52.17171717
log-sigma-1-0-mm-3D,glrlm,LongRunEmphasis,4.388163381,1.795227543,1.13986014
log-sigma-1-0-mm-3D,glrlm,LongRunHighGrayLevelEmphasis,16.87340145,13.46592324,56.83605284
log-sigma-1-0-mm-3D,glrlm,LongRunLowGrayLevelEmphasis,1.266853863,0.36386618,0.3393463
log-sigma-1-0-mm-3D,glrlm,LowGrayLevelRunEmphasis,0.341953706,0.237395524,0.270564305
log-sigma-1-0-mm-3D,glrlm,RunEntropy,1.277970833,2.07730008,2.741360505
log-sigma-1-0-mm-3D,glrlm,RunLengthNonUniformity,23.9281788,52.63868393,10.81118881
log-sigma-1-0-mm-3D,glrlm,RunLengthNonUniformityNormalized,0.676857195,0.819467544,0.927668291
log-sigma-1-0-mm-3D,glrlm,RunPercentage,0.750915751,0.870726496,0.961538462
log-sigma-1-0-mm-3D,glrlm,RunVariance,0.635268319,0.294373919,0.036165854
log-sigma-1-0-mm-3D,glrlm,ShortRunEmphasis,0.729320319,0.902450721,0.965034965
log-sigma-1-0-mm-3D,glrlm,ShortRunHighGrayLevelEmphasis,2.627325765,6.273103837,51.00563326
log-sigma-1-0-mm-3D,glrlm,ShortRunLowGrayLevelEmphasis,0.254818958,0.219756436,0.253368806
log-sigma-1-0-mm-3D,glszm,GrayLevelNonUniformity,1,4.866666667,1
log-sigma-1-0-mm-3D,glszm,GrayLevelNonUniformityNormalized,0.5,0.324444444,0.142857143
log-sigma-1-0-mm-3D,glszm,GrayLevelVariance,0.25,0.773333333,12.97959184
log-sigma-1-0-mm-3D,glszm,HighGrayLevelZoneEmphasis,2.5,6.533333333,60
log-sigma-1-0-mm-3D,glszm,LargeAreaEmphasis,730,83.06666667,3.428571429
log-sigma-1-0-mm-3D,glszm,LargeAreaHighGrayLevelEmphasis,2896,704.1333333,144.2857143
log-sigma-1-0-mm-3D,glszm,LargeAreaLowGrayLevelEmphasis,188.5,11.71898148,1.351682833
log-sigma-1-0-mm-3D,glszm,LowGrayLevelZoneEmphasis,0.625,0.287962963,0.188091901
log-sigma-1-0-mm-3D,glszm,SizeZoneNonUniformity,1,3.133333333,2.714285714
log-sigma-1-0-mm-3D,glszm,SizeZoneNonUniformityNormalized,0.5,0.208888889,0.387755102
log-sigma-1-0-mm-3D,glszm,SmallAreaEmphasis,0.03159626,0.407246403,0.551587302
log-sigma-1-0-mm-3D,glszm,SmallAreaHighGrayLevelEmphasis,0.032635042,2.413884298,39.08730159
log-sigma-1-0-mm-3D,glszm,SmallAreaLowGrayLevelEmphasis,0.031336565,0.129741884,0.055924326
log-sigma-1-0-mm-3D,glszm,ZoneEntropy,1,3.373557262,2.807354922
log-sigma-1-0-mm-3D,glszm,ZonePercentage,0.047619048,0.208333333,0.583333333
log-sigma-1-0-mm-3D,glszm,ZoneVariance,289,60.02666667,0.489795918
log-sigma-1-0-mm-3D,ngtdm,Busyness,0.43042328,0.889005875,0.277305912
log-sigma-1-0-mm-3D,ngtdm,Coarseness,0.677627535,0.115699059,0.138697146
log-sigma-1-0-mm-3D,ngtdm,Complexity,0.070273189,2.053048926,115.6080534
log-sigma-1-0-mm-3D,ngtdm,Contrast,0.00671171,0.034462192,2.153436616
log-sigma-1-0-mm-3D,ngtdm,Strength,0.611353712,0.532278348,9.186401759
log-sigma-3-0-mm-3D,firstorder,10Percentile,-34.50356598,-55.58414879,-106.0345528
log-sigma-3-0-mm-3D,firstorder,90Percentile,1.647195911,-15.34929886,-58.76672745
log-sigma-3-0-mm-3D,firstorder,Energy,17133.22165,101092.7813,80699.33996
log-sigma-3-0-mm-3D,firstorder,Entropy,1.437658547,1.603767138,1.959147917
log-sigma-3-0-mm-3D,firstorder,InterquartileRange,21.36554438,23.35518312,28.46064377
