Image type,Feature Class,Feature Name,Segmentation_segment_IPH,Segmentation_segment_IPH_lipid,Segmentation_segment_Fibrous,Segmentation_segment_Calcium
original,firstorder,RobustMeanAbsoluteDeviation,9.674743727,8.154594839,16.00551628,97.37037037
original,firstorder,RootMeanSquared,23.79155721,48.34955633,96.04143551,357.5672431
original,firstorder,Skewness,-0.269452598,0.750652326,1.210366789,0.282371746
original,firstorder,TotalEnergy,163019,1627025,12323207,3068504
original,firstorder,Uniformity,0.386622299,0.41869385,0.248517561,0.104166667
original,firstorder,Variance,417.7568359,290.7671898,1099.822618,26518.22222
original,glcm,Autocorrelation,16.35966798,10.62653176,16.4267946,125.356685
original,glcm,ClusterProminence,9.898283933,3.842382657,58.35312964,13774.27046
original,glcm,ClusterShade,-1.281721586,0.698059317,6.672201923,35.58374449
original,glcm,ClusterTendency,1.363292056,0.889446337,3.304973515,64.66924494
original,glcm,Contrast,0.940818687,0.68844338,2.110956636,92.75549451
original,glcm,Correlation,0.183603844,0.12133271,0.203144867,-0.218453446
original,glcm,DifferenceAverage,0.646754138,0.505853122,0.983191773,7.976190476
original,glcm,DifferenceEntropy,1.387902046,1.267557067,1.846890804,2.045583329
original,glcm,DifferenceVariance,0.502122359,0.430144968,1.128141456,22.56539443
original,glcm,Id,0.719028392,0.772676792,0.639224041,0.19949458
original,glcm,Idm,0.70566562,0.764826329,0.60949174,0.113445461
original,glcm,Idmn,0.986129759,0.986903509,0.980891487,0.892710039
original,glcm,Idn,0.931238397,0.939129354,0.918171543,0.78440223
original,glcm,Imc1,-0.141218652,-0.055861919,-0.067673819,-0.855857346
original,glcm,Imc2,0.569977544,0.348252823,0.464925149,0.994649107
original,glcm,InverseVariance,0.449272241,0.388150429,0.455004994,0.116544512
original,glcm,JointAverage,4.030830291,3.251913121,4.015845375,11.42445055
original,glcm,JointEnergy,0.220998948,0.278373499,0.094112378,0.122221405
original,glcm,JointEntropy,2.806423208,2.521687564,4.078768863,3.253247415
original,glcm,MCC,0.488673264,0.286856131,0.336254414,1
original,glcm,MaximumProbability,0.405723406,0.474201008,0.180815853,0.136675824
original,glcm,SumAverage,8.061660582,6.503826242,8.031690749,22.8489011
original,glcm,SumEntropy,2.020566521,1.837522452,2.74103093,2.095280382
