"Image type","Feature Class","Feature Name","Segmentation_segment_IPH","Segmentation_segment_IPH_lipid","Segmentation_segment_Calcium","Segmentation_segment_Fibrous"
"original","glcm","Correlation","0.015333296972899656","0.013503460840709148","0.12111930219536302","0.18539251900774265"
"original","glcm","DifferenceAverage","1.251532738728479","0.8236771086261077","8.14642568631675","1.3417529238958226"
"original","glcm","DifferenceEntropy","1.5895593709167435","1.615860469579253","4.213066925832935","2.1188635971441268"
"original","glcm","DifferenceVariance","1.0262827554469856","1.0297821760125725","40.477567843561694","1.6307926585690824"
"original","glcm","Id","0.557383436655749","0.6886216292573095","0.21220856569648408","0.5589515454985443"
"original","glcm","Idm","0.5134507185982937","0.6684983576833056","0.12833556763118217","0.5109620964099447"
"original","glcm","Idmn","0.9522975014719569","0.9810860713634645","0.945379607396317","0.9836133793536755"
"original","glcm","Idn","0.8617101499422748","0.9247959350289328","0.8477619987833449","0.9184016302572875"
"original","glcm","Imc1","-0.3397033561124311","-0.20447816041462","-0.4282485706927796","-0.0850227152794718"
"original","glcm","Imc2","0.8496702238330521","0.7037229554971188","0.9911298335119855","0.5724923284508969"
"original","glcm","InverseVariance","0.49487979324503156","0.4371946218495253","0.1312510004543632","0.4446218309577684"
"original","glcm","JointAverage","3.646974623584664","4.385842192719619","17.129890327641707","4.347771891353713"
"original","glcm","JointEnergy","0.10694058026241199","0.16692168121401785","0.005758880289743138","0.05731910860852615"
"original","glcm","JointEntropy","3.5146303775401506","3.170605649704833","7.59937689958653","4.690169521137879"
"original","glcm","MCC","0.7336098619519148","0.7070026002801354","0.7295968121496792","0.40451072312152686"
"original","glcm","MaximumProbability","0.1724701093362351","0.3076994505581943","0.014869709421793874","0.12720485928893832"
"original","glcm","SumAverage","7.293949247169328","8.771684385439237","34.259780655283414","8.695543782707425"
"original","glcm","SumEntropy","2.2240188994205146","2.192505275276262","5.200766894014205","3.065145267100112"
"original","glcm","SumSquares","1.3211666481308402","0.9065336095592674","61.91790269854963","2.1464953227914823"
"original","gldm","DependenceEntropy","3.8841753053299435","4.3169461837972465","5.894101657165858","4.8471537646361185"
"original","gldm","DependenceNonUniformity","28.596153846153847","62.298850574712645","157.74269005847952","179.62529274004683"
"original","gldm","DependenceNonUniformityNormalized","0.2749630177514793","0.17901968555951908","0.4612359358435074","0.21033406644033587"
"original","gldm","DependenceVariance","1.0898668639053255","3.5955872638393447","0.6579118361205157","3.394632779206818"
"original","gldm","GrayLevelNonUniformity","27.634615384615383","117.22413793103448","13.95906432748538","172.13817330210773"
"original","gldm","GrayLevelVariance","1.3446745562130178","0.9673916633637204","58.106742245477236","2.3998609656170986"
"original","gldm","HighGrayLevelEmphasis","17.03846153846154","20.933908045977013","315.32456140350877","22.607728337236534"
"original","gldm","LargeDependenceEmphasis","5.980769230769231","12.873563218390805","3.0233918128654973","11.070257611241217"
"original","gldm","LargeDependenceHighGrayLevelEmphasis","87.4423076923077","239.6867816091954","906.874269005848","174.307962529274"
"original","gldm","LargeDependenceLowGrayLevelEmphasis","0.5848956698063841","0.7406666744496863","0.044237393381980586","0.8904727001282776"
"original","gldm","LowGrayLevelEmphasis","0.09862964416535845","0.05947922820682126","0.02072529749928321","0.07037334220920566"
"original","gldm","SmallDependenceEmphasis","0.4156837606837607","0.33884151428238385","0.6937849252761534","0.3778708611551858"
"original","gldm","SmallDependenceHighGrayLevelEmphasis","8.73247061965812","8.054023654587422","220.716114359974","10.740649008761485"
"original","gldm","SmallDependenceLowGrayLevelEmphasis","0.03212907659057213","0.02200027941153313","0.017026614408563293","0.02512971842323568"
"original","glrlm","GrayLevelNonUniformity","25.96245322827229","104.49699554153459","13.627005966706973","156.4684795635459"
"original","glrlm","GrayLevelNonUniformityNormalized","0.26152961639610756","0.3251086719755821","0.04068708825881072","0.1963991327650309"
"original","glrlm","GrayLevelVariance","1.3689924781547362","1.0226627879536871","58.2792914492093","2.4721768110982394"
"original","glrlm","HighGrayLevelRunEmphasis","17.19393156313038","21.126307640027388","315.6898673470627","23.0655818839072"
"original","glrlm","LongRunEmphasis","1.19592449566148","1.3071832384867226","1.068004711317969","1.2593463388446442"
"original","glrlm","LongRunHighGrayLevelEmphasis","20.01646932360616","26.859520229712242","335.7679260987517","27.367031854622056"
"original","glrlm","LongRunLowGrayLevelEmphasis","0.11780777552293113","0.07729093663741103","0.021709834382231494","0.08991050431111584"
"original","glrlm","LowGrayLevelRunEmphasis","0.09828677967352141","0.05972176576758711","0.02091085936140469","0.06983521289634285"
"original","glrlm","RunEntropy","2.4551183161919683","2.3237359832836146","4.9195001652379045","2.934251742995644"
"original","glrlm","RunLengthNonUniformity","91.7487565861527","278.08929637550693","322.2360059005557","703.3494024646245"
"original","glrlm","RunLengthNonUniformityNormalized","0.9191649472026919","0.8596607231155097","0.9616393620196984","0.8794363779808063"
"original","glrlm","RunPercentage","0.9534023668639052","0.9213085764809902","0.9793072424651371","0.931904161412358"
"original","glrlm","RunVariance","0.0771343160360001","0.1038614172703001","0.024413638956112465","0.09454103797895665"
"original","glrlm","ShortRunEmphasis","0.9654169347821392","0.9378594987913603","0.9849603902605577","0.9491085784493731"
"original","glrlm","ShortRunHighGrayLevelEmphasis","16.7101738421409","19.940088094018808","311.1465677792559","22.216105140393072"
"original","glrlm","ShortRunLowGrayLevelEmphasis","0.09450195492119563","0.05621393315893624","0.020724016891761014","0.06588049050950648"
"original","glszm","GrayLevelNonUniformity","12.407407407407407","35.93421052631579","10.264367816091953","62.57251908396947"
"original","glszm","GrayLevelNonUniformityNormalized","0.22976680384087791","0.23640927977839335","0.03932707975514159","0.15921760581162714"
"original","glszm","GrayLevelVariance","1.5994513031550068","1.5955245844875345","60.67057148309625","3.270723669301841"
"original","glszm","HighGrayLevelZoneEmphasis","19.74074074074074","23.230263157894736","318.6360153256705","27.463104325699746"
"original","glszm","LargeAreaEmphasis","5.888888888888889","15.894736842105264","2.42911877394636","14.43765903307888"
"original","glszm","LargeAreaHighGrayLevelEmphasis","88.55555555555556","282.75657894736844","715.7739463601532","221.83969465648855"
"original","glszm","LargeAreaLowGrayLevelEmphasis","0.5614965986394558","0.9520604068869263","0.03933495469908972","1.1950783116705357"
"original","glszm","LowGrayLevelZoneEmphasis","0.08928466448307718","0.06256330102703848","0.023546577438583214","0.06696852018538073"
"original","glszm","SizeZoneNonUniformity","20.962962962962962","57.69736842105263","174.68582375478928","161.0356234096692"
"original","glszm","SizeZoneNonUniformityNormalized","0.38820301783264743","0.37958795013850416","0.6692943438880815","0.40975985600424736"
"original","glszm","SmallAreaEmphasis","0.6415816326530612","0.6318045549906838","0.8446086100468284","0.6606832594317341"
"original","glszm","SmallAreaHighGrayLevelEmphasis","14.532410031913999","15.546298820073517","268.52288314176246","19.925893007824552"
"original","glszm","SmallAreaLowGrayLevelEmphasis","0.04300616598662785","0.04216308520414582","0.02159546883261993","0.04364031054032328"
"original","glszm","ZoneEntropy","3.857528691072382","4.073818546637083","5.556117160771634","4.566540940029409"
"original","glszm","ZonePercentage","0.5192307692307693","0.4367816091954023","0.7631578947368421","0.4601873536299766"
"original","glszm","ZoneVariance","2.179698216735254","10.653047091412741","0.7121152067644339","9.715608388529548"
"original","ngtdm","Busyness","0.6919453659263444","1.1158405526566824","0.1237226582952948","2.772673595291075"
"original","ngtdm","Coarseness","0.051053289314581675","0.01696065452749897","0.015504740217144122","0.006733253819312705"
"original","ngtdm","Complexity","17.08298136970584","25.679210573559388","3110.8782701706045","65.54494930134814"
"original","ngtdm","Contrast","0.061108732683912315","0.01987241895260142","0.4865805283601456","0.04859256080824691"
"original","ngtdm","Strength","0.7541031659708834","0.5537130073004161","7.474070961417334","0.440210168965506"
"log-sigma-1-0-mm-3D","firstorder","10Percentile","23.75021667480469","20.571499252319338","-261.57892456054685","-0.35302295684813273"
"log-sigma-1-0-mm-3D","firstorder","90Percentile","89.12009658813477","86.5216751098633","-22.164769363403316","71.85788116455079"
"log-sigma-1-0-mm-3D","firstorder","Energy","396865.2706965612","1205938.984428966","9773878.50094912","1937826.1055222228"
"log-sigma-1-0-mm-3D","firstorder","Entropy","2.2055046941492824","2.142392181501098","3.8270655515797616","2.335887182498201"
"log-sigma-1-0-mm-3D","firstorder","InterquartileRange","35.11323165893555","33.077046394348145","122.50975799560547","38.807162284851074"
"log-sigma-1-0-mm-3D","firstorder","Kurtosis","4.182548928806682","3.8886498684401616","3.2409861593833202","4.137797530853345"
"log-sigma-1-0-mm-3D","firstorder","Maximum","113.86062622070312","122.64068603515625","42.89349365234375","155.06236267089844"
"log-sigma-1-0-mm-3D","firstorder","MeanAbsoluteDeviation","21.642718011634585","20.260845909976695","74.20462533653951","23.631583142698627"
"log-sigma-1-0-mm-3D","firstorder","Mean","55.13839812462147","52.74175231484161","-140.98728470634995","36.60777456950248"
"log-sigma-1-0-mm-3D","firstorder","Median","54.76171112060547","54.38409996032715","-136.57418060302734","37.93292427062988"
"log-sigma-1-0-mm-3D","firstorder","Minimum","-45.85655212402344","-59.07860565185547","-466.6512145996094","-106.73262023925781"
"log-sigma-1-0-mm-3D","firstorder","Range","159.71717834472656","181.71929168701172","509.5447082519531","261.79498291015625"
"log-sigma-1-0-mm-3D","firstorder","RobustMeanAbsoluteDeviation","14.630025456307688","13.794833915832466","51.76086362005311","16.012662115639245"
"log-sigma-1-0-mm-3D","firstorder","RootMeanSquared","61.77387974084326","58.867154757798836","169.05203964471522","47.63525185806261"
"log-sigma-1-0-mm-3D","firstorder","Skewness","-0.5774590610712903","-0.40895689387471185","-0.5585226110810132","-0.2760306750246204"
"log-sigma-1-0-mm-3D","firstorder","TotalEnergy","396865.2706965612","1205938.984428966","9773878.50094912","1937826.1055222228"
"log-sigma-1-0-mm-3D","firstorder","Uniformity","0.2546227810650888","0.2728233584357247","0.0795458431654184","0.2378420328088236"
"log-sigma-1-0-mm-3D","firstorder","Variance","775.7692704869057","683.6494720385379","8701.177659168981","928.9880606495451"
"log-sigma-1-0-mm-3D","glcm","Autocorrelation","23.04705812274271","32.2431833439603","181.24856127988102","52.32207513514241"
"log-sigma-1-0-mm-3D","glcm","ClusterProminence","19.445275294247836","31.440000445270943","4680.391110442046","65.7136217345129"
"log-sigma-1-0-mm-3D","glcm","ClusterShade","-0.442219035801316","-1.0194546575093761","-120.8171863380485","-0.5914304912304321"
"log-sigma-1-0-mm-3D","glcm","ClusterTendency","2.5695501662173426","3.13091585084904","37.23705428640054","4.324154169397995"
"log-sigma-1-0-mm-3D","glcm","Contrast","0.9080917392276416","1.2687598181207504","24.89340585219316","1.5912606818767716"
"log-sigma-1-0-mm-3D","glcm","Correlation","0.43624379966624954","0.4140095826328377","0.20427528823820867","0.4588990415260556"
"log-sigma-1-0-mm-3D","glcm","DifferenceAverage","0.6418933500576501","0.7978168024699721","3.8828671922129847","0.9182114347525812"
"log-sigma-1-0-mm-3D","glcm","DifferenceEntropy","1.2852105414693469","1.5209582635560617","3.315994538226559","1.653954192188898"
"log-sigma-1-0-mm-3D","glcm","DifferenceVariance","0.45466196110599877","0.6067036898006094","9.234391858500299","0.7349782527851823"
"log-sigma-1-0-mm-3D","glcm","Id","0.7196944930210649","0.6688326341160133","0.32850829391277203","0.6296330374890682"
"log-sigma-1-0-mm-3D","glcm","Idm","0.7056731638881739","0.6471914051456467","0.23510632417119748","0.6038033957901159"
"log-sigma-1-0-mm-3D","glcm","Idmn","0.9826084048393517","0.9814740678455206","0.9515528619240798","0.9894641599481294"
"log-sigma-1-0-mm-3D","glcm","Idn","0.9233363567542068","0.9163058722543341","0.8562314195001902","0.9328073630481156"
"log-sigma-1-0-mm-3D","glcm","Imc1","-0.39646990776768154","-0.17439235206036535","-0.21932039026259734","-0.13936386795653163"
"log-sigma-1-0-mm-3D","glcm","Imc2","0.7871607021253578","0.6914292501402581","0.8993984869510695","0.6755991109758333"
"log-sigma-1-0-mm-3D","glcm","InverseVariance","0.44415248868215407","0.4802689882401674","0.21652785915280623","0.5202384377044034"
"log-sigma-1-0-mm-3D","glcm","JointAverage","4.739676609732391","5.635652674507951","13.346641211210443","7.1857377522430275"
"log-sigma-1-0-mm-3D","glcm","JointEnergy","0.1993279132603529","0.10100073861235495","0.010362483369127807","0.07273524871952898"
"log-sigma-1-0-mm-3D","glcm","JointEntropy","2.755796165926997","3.749161625266013","6.8477959210686965","4.258702642234411"
"log-sigma-1-0-mm-3D","glcm","MCC","0.7235745764588641","0.5710927418985516","0.610144801750213","0.5970519825718396"
"log-sigma-1-0-mm-3D","glcm","MaximumProbability","0.3315920050199969","0.2072476845855059","0.027414447762088495","0.14003590766864213"
"log-sigma-1-0-mm-3D","glcm","SumAverage","9.479353219464782","11.271305349015902","26.69328242242089","14.371475504486055"
"log-sigma-1-0-mm-3D","glcm","SumEntropy","2.0487260929069273","2.7030539220682863","4.406883942303384","3.0353283367288078"
"log-sigma-1-0-mm-3D","glcm","SumSquares","0.869410476361246","1.0999189172424477","15.532615034648424","1.4788537128186914"
"log-sigma-1-0-mm-3D","gldm","DependenceEntropy","4.407009314945289","4.506075351230769","5.581985445848871","4.868264878474721"
"log-sigma-1-0-mm-3D","gldm","DependenceNonUniformity","17.903846153846153","71.67241379310344","97.94152046783626","146.8407494145199"
"log-sigma-1-0-mm-3D","gldm","DependenceNonUniformityNormalized","0.17215236686390534","0.20595521204914785","0.2863787148182347","0.17194467144557365"
"log-sigma-1-0-mm-3D","gldm","DependenceVariance","3.2437130177514795","2.614215880565464","1.2169898430286241","3.32989815114436"
"log-sigma-1-0-mm-3D","gldm","GrayLevelNonUniformity","26.48076923076923","94.94252873563218","27.204678362573098","203.11709601873537"
"log-sigma-1-0-mm-3D","gldm","GrayLevelVariance","1.3652921597633136","1.194477473906725","14.091583735166376","1.5556014128306523"
"log-sigma-1-0-mm-3D","gldm","HighGrayLevelEmphasis","23.83653846153846","32.52873563218391","206.83040935672514","50.211943793911004"
"log-sigma-1-0-mm-3D","gldm","LargeDependenceEmphasis","14.057692307692308","11.137931034482758","5.649122807017544","13.533957845433255"
"log-sigma-1-0-mm-3D","gldm","LargeDependenceHighGrayLevelEmphasis","321.375","365.9310344827586","1190.1520467836258","727.0409836065573"
"log-sigma-1-0-mm-3D","gldm","LargeDependenceLowGrayLevelEmphasis","0.7424135487528344","0.37542044188365004","0.041341156099596946","0.2749194480210922"
"log-sigma-1-0-mm-3D","gldm","LowGrayLevelEmphasis","0.06939320600034886","0.03960456332916308","0.010755114090071929","0.024193031210200222"
"log-sigma-1-0-mm-3D","gldm","SmallDependenceEmphasis","0.28227806667538813","0.28915021417783804","0.46737324461948515","0.28409726518545664"
"log-sigma-1-0-mm-3D","gldm","SmallDependenceHighGrayLevelEmphasis","7.236759359192395","9.082079065342612","96.96582574160267","13.508684317512243"
"log-sigma-1-0-mm-3D","gldm","SmallDependenceLowGrayLevelEmphasis","0.020590556636650385","0.01489226449658786","0.006805865806453455","0.008515101193524074"
"log-sigma-1-0-mm-3D","glrlm","GrayLevelNonUniformity","23.50068728920828","86.53333479056587","25.88593293122667","183.07456707143135"
"log-sigma-1-0-mm-3D","glrlm","GrayLevelNonUniformityNormalized","0.2471177686946728","0.26803354497684523","0.07906528848876607","0.23392305836630595"
"log-sigma-1-0-mm-3D","glrlm","GrayLevelVariance","1.43762852943484","1.234002042578427","14.20820185798354","1.6045457355423558"
"log-sigma-1-0-mm-3D","glrlm","HighGrayLevelRunEmphasis","23.94509858074094","32.48527321392999","206.67876235893976","49.98037047655624"
