Image type,Feature Class,Feature Name,Segmentation_segment_IPH,Segmentation_segment_IPH_lipid,Segmentation_segment_Calcium,Segmentation_segment_Fibrous
original,glcm,MCC,0.717087648,0.42518275,0.988852481,0.372110638
original,glcm,MaximumProbability,0.505105402,0.429338805,0.08246337,0.302022731
original,glcm,SumAverage,4.945652174,6.688076265,14.7577381,7.470686341
original,glcm,SumEntropy,0.579187389,1.739026624,2.947701977,2.574162815
original,glcm,SumSquares,0.231337178,0.324180675,22.05147721,1.25169296
original,gldm,DependenceEntropy,2.782043523,5.300641598,3.890319531,5.034791274
original,gldm,DependenceNonUniformity,14.42857143,91.29925187,18.25,91.15789474
original,gldm,DependenceNonUniformityNormalized,0.343537415,0.056919733,0.5703125,0.109040544
original,gldm,DependenceVariance,0.619047619,31.75178481,0.21484375,10.8136604
original,gldm,GrayLevelNonUniformity,20.23809524,743.6907731,3.0625,274.2248804
original,gldm,GrayLevelVariance,0.378684807,0.370431076,20.88183594,1.348519665
original,gldm,HighGrayLevelEmphasis,6.047619048,12.10660848,67.71875,15.57296651
original,gldm,LargeDependenceEmphasis,4.619047619,110.1471322,3.0625,33.43301435
original,gldm,LargeDependenceHighGrayLevelEmphasis,25.52380952,1135.627805,214.53125,367.5705742
original,gldm,LargeDependenceLowGrayLevelEmphasis,0.981812169,11.26423272,0.232966043,3.353345376
original,gldm,LowGrayLevelEmphasis,0.215939153,0.094432226,0.091641403,0.089738103
original,gldm,SmallDependenceEmphasis,0.426752646,0.074392913,0.484375,0.207616298
original,gldm,SmallDependenceHighGrayLevelEmphasis,2.901455026,1.067493621,31.015625,4.838980142
original,gldm,SmallDependenceLowGrayLevelEmphasis,0.096326609,0.007716518,0.056310244,0.01729952
original,glrlm,GrayLevelNonUniformity,19.24181415,490.7682265,2.971261733,215.4337628
original,glrlm,GrayLevelNonUniformityNormalized,0.477356341,0.437815878,0.095311147,0.30058046
original,glrlm,GrayLevelVariance,0.386613621,0.425972742,20.72043347,1.465454005
original,glrlm,HighGrayLevelRunEmphasis,6.07985925,12.62766542,67.55212941,16.23250421
original,glrlm,LongRunEmphasis,1.148061803,3.080133584,1.105189341,1.63348274
original,glrlm,LongRunHighGrayLevelEmphasis,6.878560021,34.66596592,75.17528185,23.64882989
original,glrlm,LongRunLowGrayLevelEmphasis,0.247450353,0.301862714,0.099683209,0.149972891
original,glrlm,LowGrayLevelRunEmphasis,0.216169724,0.092706025,0.09244035,0.088513016
original,glrlm,RunEntropy,1.487217768,2.558976087,3.597048685,2.730944501
original,glrlm,RunLengthNonUniformity,37.39573047,649.0484271,30.01327004,551.3216213
original,glrlm,RunLengthNonUniformityNormalized,0.920797678,0.570940756,0.953750736,0.765713762
original,glrlm,RunPercentage,0.958333333,0.697918665,0.973557692,0.855539198
original,glrlm,RunVariance,0.039601161,0.912969162,0.023124632,0.245465031
original,glrlm,ShortRunEmphasis,0.962984549,0.778652972,0.973702665,0.894205983
original,glrlm,ShortRunHighGrayLevelEmphasis,5.880184057,10.11037932,65.6463413,14.97278436
original,glrlm,ShortRunLowGrayLevelEmphasis,0.208349566,0.071517468,0.090629635,0.078317729
original,glszm,GrayLevelNonUniformity,9.916666667,27.69811321,1.857142857,31.56684492
original,glszm,GrayLevelNonUniformityNormalized,0.413194444,0.261302955,0.088435374,0.168806657
original,glszm,GrayLevelVariance,0.498263889,1.444731221,18.88435374,2.683290915
original,glszm,HighGrayLevelZoneEmphasis,6.541666667,14.5,65.9047619,23.58823529
original,glszm,LargeAreaEmphasis,3.916666667,6718.943396,2.571428571,605.2406417
original,glszm,LargeAreaHighGrayLevelEmphasis,21.75,72022.10377,177.7619048,5947.834225
original,glszm,LargeAreaLowGrayLevelEmphasis,0.850115741,666.5238141,0.211427987,64.08488207
original,glszm,LowGrayLevelZoneEmphasis,0.219328704,0.114940892,0.103752071,0.083840445
original,glszm,SizeZoneNonUniformity,9,32.45283019,10.52380952,74.65775401
original,glszm,SizeZoneNonUniformityNormalized,0.375,0.306158775,0.501133787,0.399239326
original,glszm,SmallAreaEmphasis,0.597800926,0.565960063,0.607142857,0.655838684
original,glszm,SmallAreaHighGrayLevelEmphasis,4.278935185,8.574571625,37.94047619,17.2008317
original,glszm,SmallAreaLowGrayLevelEmphasis,0.136943801,0.066193129,0.076833092,0.054444864
original,glszm,ZoneEntropy,2.919372149,4.180813966,3.975418018,4.405370751
original,glszm,ZonePercentage,0.571428571,0.066084788,0.65625,0.223684211
original,glszm,ZoneVariance,0.854166667,6489.963688,0.249433107,585.2544825
original,ngtdm,Busyness,1.060688406,8.408709717,0.191132253,3.722471078
original,ngtdm,Coarseness,0.107600342,0.003613324,0.097339151,0.006516423
original,ngtdm,Complexity,3.410833123,11.46349802,293.4368825,28.87461357
original,ngtdm,Contrast,0.035388997,0.007600989,0.883069939,0.028856166
original,ngtdm,Strength,0.558083106,0.148147217,10.91926692,0.301785361
log-sigma-1-0-mm-3D,firstorder,10Percentile,12.68176031,2.491406178,-183.876004,-10.40733337
log-sigma-1-0-mm-3D,firstorder,90Percentile,46.54986153,41.2549881,-35.30302353,33.7537117
log-sigma-1-0-mm-3D,firstorder,Energy,49239.97057,1119679.849,421374.3832,365821.9931
log-sigma-1-0-mm-3D,firstorder,Entropy,1.223935601,1.4207127,2.796179692,1.675734647
log-sigma-1-0-mm-3D,firstorder,InterquartileRange,22.91539049,23.1389122,79.21550274,24.11574751
log-sigma-1-0-mm-3D,firstorder,Kurtosis,2.201309996,3.470079028,2.191388335,4.665924454
log-sigma-1-0-mm-3D,firstorder,Maximum,60.58058167,81.64306641,-4.960082054,59.12001038
log-sigma-1-0-mm-3D,firstorder,MeanAbsoluteDeviation,10.86009272,12.5938963,47.51438913,14.14562043
log-sigma-1-0-mm-3D,firstorder,Mean,31.71156829,21.46628717,-100.7760705,10.45217759
log-sigma-1-0-mm-3D,firstorder,Median,33.61003113,20.79491425,-104.3651276,10.57544661
log-sigma-1-0-mm-3D,firstorder,Minimum,11.09197998,-62.14450836,-213.0440521,-80.77577972
log-sigma-1-0-mm-3D,firstorder,Range,49.48860168,143.7875748,208.0839701,139.8957901
log-sigma-1-0-mm-3D,firstorder,RobustMeanAbsoluteDeviation,7.967249446,9.298278263,33.89085213,9.84228084
log-sigma-1-0-mm-3D,firstorder,RootMeanSquared,34.24003872,26.42072612,114.7516862,20.91855913
log-sigma-1-0-mm-3D,firstorder,Skewness,0.010815744,0.194322219,-0.28839637,-0.584578063
log-sigma-1-0-mm-3D,firstorder,TotalEnergy,49239.97057,1119679.849,421374.3832,365821.9931
log-sigma-1-0-mm-3D,firstorder,Uniformity,0.484126984,0.433288661,0.16015625,0.361916508
log-sigma-1-0-mm-3D,firstorder,Variance,166.7566884,237.2532837,3012.13309,328.3380998
log-sigma-1-0-mm-3D,glcm,Autocorrelation,3.146245059,18.79960855,28.17774725,25.07024495
log-sigma-1-0-mm-3D,glcm,ClusterProminence,0.65688522,4.04119865,310.5412219,13.01679394
log-sigma-1-0-mm-3D,glcm,ClusterShade,-0.034390014,0.415111042,8.682077813,-1.631853646
log-sigma-1-0-mm-3D,glcm,ClusterTendency,0.40778174,1.038799109,11.5665426,1.670654027
log-sigma-1-0-mm-3D,glcm,Contrast,0.083992095,0.380654996,8.489652015,0.812253821
log-sigma-1-0-mm-3D,glcm,Correlation,0.752997439,0.457567515,0.146787284,0.346493936
log-sigma-1-0-mm-3D,glcm,DifferenceAverage,0.083992095,0.34514481,2.277197802,0.599333585
log-sigma-1-0-mm-3D,glcm,DifferenceEntropy,0.22525968,0.982945186,1.990985585,1.335208549
log-sigma-1-0-mm-3D,glcm,DifferenceVariance,0.052833391,0.257345437,2.872984803,0.444072114
log-sigma-1-0-mm-3D,glcm,Id,0.958003953,0.83251926,0.448520299,0.731080516
log-sigma-1-0-mm-3D,glcm,Idm,0.958003953,0.830898597,0.364988025,0.720866666
log-sigma-1-0-mm-3D,glcm,Idmn,0.991600791,0.992510542,0.916254532,0.984516915
log-sigma-1-0-mm-3D,glcm,Idn,0.979001976,0.957320478,0.818154081,0.927860336
log-sigma-1-0-mm-3D,glcm,Imc1,-0.336433831,-0.166533906,-0.601847019,-0.096499416
log-sigma-1-0-mm-3D,glcm,Imc2,0.391635974,0.561425083,0.97499907,0.500520058
log-sigma-1-0-mm-3D,glcm,InverseVariance,0.083992095,0.321318259,0.261208733,0.452514676
log-sigma-1-0-mm-3D,glcm,JointAverage,1.722826087,4.316743866,5.227838828,4.985473741
log-sigma-1-0-mm-3D,glcm,JointEnergy,0.721042538,0.280776343,0.087776878,0.157755897
log-sigma-1-0-mm-3D,glcm,JointEntropy,0.66762339,2.34136411,3.682411825,3.113207051
log-sigma-1-0-mm-3D,glcm,MCC,0.397265581,0.529670657,0.946661695,0.472915465
log-sigma-1-0-mm-3D,glcm,MaximumProbability,0.782279315,0.453480614,0.140247253,0.302031768
log-sigma-1-0-mm-3D,glcm,SumAverage,3.445652174,8.633487732,10.45567766,9.970947481
log-sigma-1-0-mm-3D,glcm,SumEntropy,0.583631295,1.937438385,2.684207656,2.313227948
log-sigma-1-0-mm-3D,glcm,SumSquares,0.122943459,0.354863526,5.014048655,0.620726962
log-sigma-1-0-mm-3D,gldm,DependenceEntropy,3.319758702,5.49919849,3.890319531,5.076515547
log-sigma-1-0-mm-3D,gldm,DependenceNonUniformity,10.57142857,85.49127182,9.5,83.28229665
log-sigma-1-0-mm-3D,gldm,DependenceNonUniformityNormalized,0.25170068,0.053298798,0.296875,0.099619972
log-sigma-1-0-mm-3D,gldm,DependenceVariance,2.952380952,32.98038414,0.984375,11.43664866
log-sigma-1-0-mm-3D,gldm,GrayLevelNonUniformity,20.33333333,694.9950125,5.125,302.562201
log-sigma-1-0-mm-3D,gldm,GrayLevelVariance,0.324263039,0.42600287,4.80859375,0.634137268
log-sigma-1-0-mm-3D,gldm,HighGrayLevelEmphasis,3.428571429,19.55299252,35.75,24.80382775
log-sigma-1-0-mm-3D,gldm,LargeDependenceEmphasis,11.95238095,130.5760599,9.25,40.38516746
log-sigma-1-0-mm-3D,gldm,LargeDependenceHighGrayLevelEmphasis,40.23809524,2349.440773,332.9375,1034.155502
log-sigma-1-0-mm-3D,gldm,LargeDependenceLowGrayLevelEmphasis,5.119047619,7.552644028,0.626195963,1.676746723
log-sigma-1-0-mm-3D,gldm,LowGrayLevelEmphasis,0.472222222,0.056625521,0.107460283,0.046825804
log-sigma-1-0-mm-3D,gldm,SmallDependenceEmphasis,0.257165398,0.06091858,0.180234375,0.140319361
log-sigma-1-0-mm-3D,gldm,SmallDependenceHighGrayLevelEmphasis,1.006459211,1.061471577,7.168072917,3.134235888
