Image type,Feature Class,Feature Name,Segmentation_segment_Calcium,Segmentation_segment_IPH_lipid,Segmentation_segment_Fibrous,Segmentation_segment_IPH
original,glrlm,RunEntropy,4.225615021,4.729854176,4.904644406,3.716034345
original,glrlm,RunLengthNonUniformity,479.364106,219.1373905,492.8703466,44.80247181
original,glrlm,RunLengthNonUniformityNormalized,0.648217571,0.931119751,0.868811006,0.954935668
original,glrlm,RunPercentage,0.77521732,0.960907945,0.923076923,0.975961538
original,glrlm,RunVariance,0.503144318,0.052742386,0.120847535,0.027419324
original,glrlm,ShortRunEmphasis,0.827608056,0.971152381,0.943388932,0.981933025
original,glrlm,ShortRunHighGrayLevelEmphasis,73.73075793,1103.162519,2170.505482,94.12565786
original,glrlm,ShortRunLowGrayLevelEmphasis,0.021384507,0.006205588,0.007048949,0.052611416
original,glszm,GrayLevelNonUniformity,11.73291925,6.691275168,11.1294964,2.885714286
original,glszm,GrayLevelNonUniformityNormalized,0.072875275,0.044907887,0.04003416,0.08244898
original,glszm,GrayLevelVariance,19.39207592,426.9992343,517.8258889,30.95836735
original,glszm,HighGrayLevelZoneEmphasis,110.173913,1430.060403,2766.223022,106.4
original,glszm,LargeAreaEmphasis,367.9751553,4.201342282,16.96402878,2.514285714
original,glszm,LargeAreaHighGrayLevelEmphasis,26586.7205,3319.731544,30207.24101,203.5714286
original,glszm,LargeAreaLowGrayLevelEmphasis,7.227050555,0.014664284,0.065334389,0.101520299
original,glszm,LowGrayLevelZoneEmphasis,0.034039774,0.008743682,0.007382284,0.061615487
original,glszm,SizeZoneNonUniformity,53.93167702,71.73825503,125.2589928,21.68571429
original,glszm,SizeZoneNonUniformityNormalized,0.33497936,0.481464799,0.450571917,0.619591837
original,glszm,SmallAreaEmphasis,0.599243076,0.719820868,0.696830636,0.813888889
original,glszm,SmallAreaHighGrayLevelEmphasis,76.53559883,1269.340209,2187.156551,95.32638889
original,glszm,SmallAreaLowGrayLevelEmphasis,0.023392323,0.00820758,0.005117216,0.055974602
original,glszm,ZoneEntropy,5.658789122,5.967204806,6.532557053,4.207435517
original,glszm,ZonePercentage,0.171641791,0.610655738,0.455737705,0.729166667
original,glszm,ZoneVariance,334.0318661,1.519661277,12.14931939,0.633469388
original,ngtdm,Busyness,0.349793104,0.021305581,0.01258991,0.081245993
original,ngtdm,Coarseness,0.011634381,0.033517515,0.01624009,0.116161693
original,ngtdm,Complexity,209.068593,5974.310201,10795.94515,304.1146469
original,ngtdm,Contrast,0.045818854,0.821663218,0.290049697,0.477320451
original,ngtdm,Strength,4.736122838,173.8140221,169.1359512,24.04242151
log-sigma-1-0-mm-3D,firstorder,10Percentile,-33.2547657,-108.8369835,-82.37311325,-104.0103287
log-sigma-1-0-mm-3D,firstorder,90Percentile,44.53642616,135.3521477,102.450692,80.60903625
log-sigma-1-0-mm-3D,firstorder,Energy,1209854.415,9800145.126,20493569.59,256552.2528
log-sigma-1-0-mm-3D,firstorder,Entropy,2.432995359,3.921934982,3.700815985,3.376833732
log-sigma-1-0-mm-3D,firstorder,InterquartileRange,35.19814777,104.587842,60.98882914,113.3052692
log-sigma-1-0-mm-3D,firstorder,Kurtosis,7.533124959,17.5949344,20.14013573,2.240607637
log-sigma-1-0-mm-3D,firstorder,Maximum,209.4689026,447.3966064,290.7896423,120.8929138
log-sigma-1-0-mm-3D,firstorder,MeanAbsoluteDeviation,24.63895517,107.9427588,88.81529485,62.1414428
log-sigma-1-0-mm-3D,firstorder,Mean,8.653083632,-11.10321346,-19.05410253,-5.234214644
log-sigma-1-0-mm-3D,firstorder,Median,6.045538425,26.81158638,6.959792852,4.733376503
log-sigma-1-0-mm-3D,firstorder,Minimum,-139.7853394,-1320.138672,-1229.229736,-177.3417358
log-sigma-1-0-mm-3D,firstorder,Range,349.2542419,1767.535278,1520.019379,298.2346497
log-sigma-1-0-mm-3D,firstorder,RobustMeanAbsoluteDeviation,15.09541378,42.18079175,28.05060437,47.51572742
log-sigma-1-0-mm-3D,firstorder,RootMeanSquared,35.91411241,200.4109009,183.2921595,73.10840307
log-sigma-1-0-mm-3D,firstorder,Skewness,0.881785414,-3.277568653,-3.737755271,-0.321238805
log-sigma-1-0-mm-3D,firstorder,TotalEnergy,1209854.415,9800145.126,20493569.59,256552.2528
log-sigma-1-0-mm-3D,firstorder,Uniformity,0.233193612,0.098394249,0.127170116,0.105902778
log-sigma-1-0-mm-3D,firstorder,Variance,1214.947614,40041.24786,33232.9569,5317.441596
log-sigma-1-0-mm-3D,glcm,Autocorrelation,46.20628411,2853.904904,2514.666992,72.82471332
log-sigma-1-0-mm-3D,glcm,ClusterProminence,260.7491162,412333.58,638343.5556,1838.555606
log-sigma-1-0-mm-3D,glcm,ClusterShade,14.4735514,-6411.200297,-9009.267526,-97.7175893
log-sigma-1-0-mm-3D,glcm,ClusterTendency,5.895808438,178.5584804,187.1961296,30.87119184
log-sigma-1-0-mm-3D,glcm,Contrast,1.679288858,47.98849807,44.7274515,5.227238253
log-sigma-1-0-mm-3D,glcm,Correlation,0.554648241,0.543450174,0.610926196,0.710523764
log-sigma-1-0-mm-3D,glcm,DifferenceAverage,0.782141233,3.997776531,2.857251707,1.804766708
log-sigma-1-0-mm-3D,glcm,DifferenceEntropy,1.665101417,3.087531776,2.600659035,1.91327026
log-sigma-1-0-mm-3D,glcm,DifferenceVariance,1.043103354,28.70289182,34.88991302,1.702775738
log-sigma-1-0-mm-3D,glcm,Id,0.704895966,0.442445126,0.559007839,0.463766647
log-sigma-1-0-mm-3D,glcm,Idm,0.684825314,0.377272455,0.517246929,0.394630045
log-sigma-1-0-mm-3D,glcm,Idmn,0.992976418,0.991180327,0.99034364,0.971596624
log-sigma-1-0-mm-3D,glcm,Idn,0.954048358,0.951313248,0.962180521,0.885510677
log-sigma-1-0-mm-3D,glcm,Imc1,-0.209974206,-0.534049336,-0.442225321,-0.683222059
log-sigma-1-0-mm-3D,glcm,Imc2,0.778177132,0.99053107,0.976004612,0.992272963
log-sigma-1-0-mm-3D,glcm,InverseVariance,0.407353341,0.262940981,0.363431504,0.425627126
log-sigma-1-0-mm-3D,glcm,JointAverage,6.71903793,53.10185573,49.78889349,8.135891833
