Image type,Feature Class,Feature Name,Segmentation_segment_IPH_lipid,Segmentation_segment_Fibrous,Segmentation_segment_Calcium,Segmentation_segment_Calcium
log-sigma-1-0-mm-3D,firstorder,Mean,56.78772013,63.18690357,-212.0351159,
log-sigma-1-0-mm-3D,firstorder,Median,46.32554245,41.76623726,-162.6081772,
log-sigma-1-0-mm-3D,firstorder,Minimum,-15.64701557,-27.07206535,-999.4637451,
log-sigma-1-0-mm-3D,firstorder,Range,259.3380556,567.8512402,1492.930511,
log-sigma-1-0-mm-3D,firstorder,RobustMeanAbsoluteDeviation,18.90534256,20.65395143,145.3964949,
log-sigma-1-0-mm-3D,firstorder,RootMeanSquared,74.35590599,97.82695915,323.6854153,
log-sigma-1-0-mm-3D,firstorder,Skewness,1.575207117,3.338836132,-0.521859139,
log-sigma-1-0-mm-3D,firstorder,TotalEnergy,1138932.956,2660491.674,74388296.15,
log-sigma-1-0-mm-3D,firstorder,Uniformity,0.202422471,0.220071425,0.034155921,
log-sigma-1-0-mm-3D,firstorder,Variance,2303.955598,5577.529154,59813.35773,
log-sigma-1-0-mm-3D,glcm,Autocorrelation,14.35205154,29.54993587,986.1813776,
log-sigma-1-0-mm-3D,glcm,ClusterProminence,477.6730035,8144.808094,263526.008,
log-sigma-1-0-mm-3D,glcm,ClusterShade,36.47796365,317.6319235,-1251.721156,
log-sigma-1-0-mm-3D,glcm,ClusterTendency,8.463444545,22.69120174,309.0594702,
log-sigma-1-0-mm-3D,glcm,Contrast,2.237176318,3.492011733,119.811305,
log-sigma-1-0-mm-3D,glcm,Correlation,0.577714495,0.695273242,0.444972176,
log-sigma-1-0-mm-3D,glcm,DifferenceAverage,1.131712521,1.236672433,8.414991557,
log-sigma-1-0-mm-3D,glcm,DifferenceEntropy,1.65195268,1.999423938,4.410977503,
log-sigma-1-0-mm-3D,glcm,DifferenceVariance,0.685164331,1.879383374,46.01579539,
log-sigma-1-0-mm-3D,glcm,Id,0.586540536,0.603128847,0.216918822,
log-sigma-1-0-mm-3D,glcm,Idm,0.542345626,0.56377186,0.135359076,
log-sigma-1-0-mm-3D,glcm,Idmn,0.982424105,0.994151953,0.969838765,
log-sigma-1-0-mm-3D,glcm,Idn,0.912400877,0.953681773,0.885485266,
log-sigma-1-0-mm-3D,glcm,Imc1,-0.290551637,-0.364964333,-0.283211977,
log-sigma-1-0-mm-3D,glcm,Imc2,0.867387455,0.922133722,0.973924263,
log-sigma-1-0-mm-3D,glcm,InverseVariance,0.44880492,0.421818672,0.138347099,
log-sigma-1-0-mm-3D,glcm,JointAverage,3.57558692,4.973741648,30.64000055,
log-sigma-1-0-mm-3D,glcm,JointEnergy,0.065972763,0.083320189,0.00229937,
log-sigma-1-0-mm-3D,glcm,JointEntropy,4.313281369,4.389372248,9.049283351,
log-sigma-1-0-mm-3D,glcm,MCC,0.855694585,0.924300379,0.628570829,
log-sigma-1-0-mm-3D,glcm,MaximumProbability,0.129236489,0.199076778,0.009279947,
log-sigma-1-0-mm-3D,glcm,SumAverage,7.15117384,9.947483295,61.2800011,
log-sigma-1-0-mm-3D,glcm,SumEntropy,3.144477342,3.190247298,5.97476938,
log-sigma-1-0-mm-3D,glcm,SumSquares,2.675155216,6.545803368,107.2176938,
log-sigma-1-0-mm-3D,gldm,DependenceEntropy,5.18555883,5.078697014,6.663619056,
log-sigma-1-0-mm-3D,gldm,DependenceNonUniformity,30.62135922,45.69784173,239.171831,
log-sigma-1-0-mm-3D,gldm,DependenceNonUniformityNormalized,0.148647375,0.164380726,0.336861734,
log-sigma-1-0-mm-3D,gldm,DependenceVariance,3.626354982,4.311578076,1.307446935,
log-sigma-1-0-mm-3D,gldm,GrayLevelNonUniformity,41.69902913,61.17985612,24.25070423,
log-sigma-1-0-mm-3D,gldm,GrayLevelVariance,3.663116222,9.103268464,95.68567546,
log-sigma-1-0-mm-3D,gldm,HighGrayLevelEmphasis,18,34.42805755,1120.677465,
log-sigma-1-0-mm-3D,gldm,LargeDependenceEmphasis,20.89320388,15.21582734,4.901408451,
log-sigma-1-0-mm-3D,gldm,LargeDependenceHighGrayLevelEmphasis,286.5533981,300.6798561,5951.187324,
log-sigma-1-0-mm-3D,gldm,LargeDependenceLowGrayLevelEmphasis,2.92540178,0.985258301,0.044925696,
log-sigma-1-0-mm-3D,gldm,LowGrayLevelEmphasis,0.150447634,0.067350828,0.005918307,
log-sigma-1-0-mm-3D,gldm,SmallDependenceEmphasis,0.142258584,0.315532876,0.568708178,
log-sigma-1-0-mm-3D,gldm,SmallDependenceHighGrayLevelEmphasis,3.462944415,19.84344792,634.6565431,
log-sigma-1-0-mm-3D,gldm,SmallDependenceLowGrayLevelEmphasis,0.023644232,0.02288871,0.001487609,
log-sigma-1-0-mm-3D,glrlm,GrayLevelNonUniformity,35.83243435,52.8414063,23.13205613,
log-sigma-1-0-mm-3D,glrlm,GrayLevelNonUniformityNormalized,0.19727916,0.20720041,0.033743386,
log-sigma-1-0-mm-3D,glrlm,GrayLevelVariance,3.884578363,9.851991556,95.7516606,
log-sigma-1-0-mm-3D,glrlm,HighGrayLevelRunEmphasis,18.58392943,36.04021261,1118.317064,
log-sigma-1-0-mm-3D,glrlm,LongRunEmphasis,1.641825041,1.414553377,1.111792414,
log-sigma-1-0-mm-3D,glrlm,LongRunHighGrayLevelEmphasis,27.42604649,43.82696376,1251.785141,
log-sigma-1-0-mm-3D,glrlm,LongRunLowGrayLevelEmphasis,0.246086236,0.094698397,0.006924573,
log-sigma-1-0-mm-3D,glrlm,LowGrayLevelRunEmphasis,0.150965871,0.067653815,0.005737161,
log-sigma-1-0-mm-3D,glrlm,RunEntropy,3.19239027,3.225943665,5.340490934,
log-sigma-1-0-mm-3D,glrlm,RunLengthNonUniformity,148.4795987,218.919062,640.5426908,
log-sigma-1-0-mm-3D,glrlm,RunLengthNonUniformityNormalized,0.799893352,0.854398666,0.933793459,
log-sigma-1-0-mm-3D,glrlm,RunPercentage,0.878640777,0.911455451,0.965547129,
log-sigma-1-0-mm-3D,glrlm,RunVariance,0.219888916,0.168041287,0.038055043,
log-sigma-1-0-mm-3D,glrlm,ShortRunEmphasis,0.900446007,0.935843476,0.973921662,
log-sigma-1-0-mm-3D,glrlm,ShortRunHighGrayLevelEmphasis,17.06361781,34.71562531,1087.571091,
log-sigma-1-0-mm-3D,glrlm,ShortRunLowGrayLevelEmphasis,0.136336726,0.063577876,0.005442536,
log-sigma-1-0-mm-3D,glszm,GrayLevelNonUniformity,4.948717949,12.07692308,14.37229437,
log-sigma-1-0-mm-3D,glszm,GrayLevelNonUniformityNormalized,0.126890204,0.11612426,0.031108862,
log-sigma-1-0-mm-3D,glszm,GrayLevelVariance,6.912557528,19.08136095,97.59699031,
log-sigma-1-0-mm-3D,glszm,HighGrayLevelZoneEmphasis,27.74358974,57.90384615,1106.415584,
log-sigma-1-0-mm-3D,glszm,LargeAreaEmphasis,107.4871795,37.38461538,4.155844156,
log-sigma-1-0-mm-3D,glszm,LargeAreaHighGrayLevelEmphasis,1272.974359,665.8365385,5044.971861,
log-sigma-1-0-mm-3D,glszm,LargeAreaLowGrayLevelEmphasis,13.13054342,2.435677017,0.025167537,
log-sigma-1-0-mm-3D,glszm,LowGrayLevelZoneEmphasis,0.160490022,0.070304689,0.003966539,
log-sigma-1-0-mm-3D,glszm,SizeZoneNonUniformity,8.230769231,42.48076923,259.5151515,
log-sigma-1-0-mm-3D,glszm,SizeZoneNonUniformityNormalized,0.211045365,0.408468935,0.561721107,
log-sigma-1-0-mm-3D,glszm,SmallAreaEmphasis,0.382193544,0.663405398,0.777819934,
log-sigma-1-0-mm-3D,glszm,SmallAreaHighGrayLevelEmphasis,10.62028986,49.07901594,869.1494354,
