"Image type","Feature Class","Feature Name","Segmentation_segment_IPH","Segmentation_segment_IPH_lipid","Segmentation_segment_Calcium","Segmentation_segment_Fibrous"
"original","glcm","DifferenceAverage","1.1015680861218504","0.699465289417961","","1.002183279510675"
"original","glcm","DifferenceEntropy","1.9138241600904182","1.4057057754937377","","1.874359119089058"
"original","glcm","DifferenceVariance","1.0959951398212078","0.4829671533002245","","1.27424777837726"
"original","glcm","Id","0.6056303536479436","0.6922229143451801","","0.6437537229226944"
"original","glcm","Idm","0.5670375038868398","0.6784425679113645","","0.6137985632511496"
"original","glcm","Idmn","0.9736488626793627","0.9812273118904922","","0.979334710803746"
"original","glcm","Idn","0.9001427715200765","0.9163376557668914","","0.9175619227443655"
"original","glcm","Imc1","-0.07952425907374093","-0.0782310387693535","","-0.08083024193046436"
"original","glcm","Imc2","0.5176936211314479","0.46414147146936624","","0.5124065435922857"
"original","glcm","InverseVariance","0.448072262425442","0.5001655830945336","","0.43850004856448604"
"original","glcm","JointAverage","5.110262581136287","3.2307876978234686","","4.867802857165064"
"original","glcm","JointEnergy","0.06987031841002692","0.16500162341559665","","0.11515874253235302"
"original","glcm","JointEntropy","4.385745625084809","3.1101436729108167","","3.8923154396367305"
"original","glcm","MCC","0.3784720086960269","0.407968458650693","","0.4212337783014022"
"original","glcm","MaximumProbability","0.14631235287679378","0.30212967580395034","","0.20765833122133"
"original","glcm","SumAverage","10.220525162272574","6.461575395646937","","9.735605714330127"
"original","glcm","SumEntropy","2.8726645987439055","2.1694285038097183","","2.6587074732379445"
"original","glcm","SumSquares","1.4435895251623245","0.5886487725142888","","1.4846069004567917"
"original","gldm","DependenceEntropy","5.146781634079331","4.319605985310286","","5.072209684799841"
"original","gldm","DependenceNonUniformity","99.5909090909091","93.8556338028169","","116.90454545454546"
"original","gldm","DependenceNonUniformityNormalized","0.12574609733700642","0.16523879190636778","","0.1328460743801653"
"original","gldm","DependenceVariance","6.251371033568003","4.593483435826226","","8.930655991735536"
"original","gldm","GrayLevelNonUniformity","197.18939393939394","203.1549295774648","","244.9568181818182"
"original","gldm","GrayLevelVariance","1.4551050275482094","0.6870536599880976","","1.8770028409090909"
"original","gldm","HighGrayLevelEmphasis","29.296717171717173","11.112676056338028","","26.50340909090909"
"original","gldm","LargeDependenceEmphasis","25.66919191919192","15.735915492957746","","25.204545454545453"
"original","gldm","LargeDependenceHighGrayLevelEmphasis","690.2916666666666","160.42957746478874","","515.6579545454546"
"original","gldm","LargeDependenceLowGrayLevelEmphasis","1.095118150514976","1.7038279877678773","","1.3285247801140658"
"original","gldm","LowGrayLevelEmphasis","0.04752931573864114","0.12149621937977068","","0.049669650372775376"
"original","gldm","SmallDependenceEmphasis","0.17323218726880504","0.29030814904195595","","0.2836519840919277"
"original","gldm","SmallDependenceHighGrayLevelEmphasis","6.346883103607493","3.432181736190928","","9.924396692865605"
"original","gldm","SmallDependenceLowGrayLevelEmphasis","0.0080872329913794","0.04265947279786366","","0.01379493223333055"
