"Image type","Feature Class","Feature Name","Segmentation_segment_IPH_lipid","Segmentation_segment_Fibrous","Segmentation_segment_Calcium","Segmentation_segment_IPH"
"original","shape","Sphericity","0.27394354379471825","0.23839357292988067","0.5155474277685951","0.6113270370678706"
"original","shape","SurfaceArea","312.20585306599776","559.9957996551464","332.72082064991673","19.375886325475822"
"original","shape","SurfaceVolumeRatio","4.197725755509214","3.860930534824336","1.575009801893097","5.054579041428475"
"original","shape","VoxelVolume","130.0","230.0","232.0","8.0"
"original","firstorder","10Percentile","27.0","55.900000000000006","233.10000000000002","16.4"
"original","firstorder","90Percentile","58.10000000000001","138.1","1104.8","31.099999999999998"
"original","firstorder","Energy","269979.0","2205293.0","121896568.0","5097.0"
"original","firstorder","Entropy","1.301044996303713","2.3810067665843673","5.4473620948460715","0.9999999999999993"
"original","firstorder","InterquartileRange","17.5","43.75","535.5","7.5"
"original","firstorder","Kurtosis","6.685570842984345","3.369608283398216","2.1408287761807903","3.9814721886049376"
"original","firstorder","Maximum","111.0","208.0","1370.0","43.0"
"original","firstorder","MeanAbsoluteDeviation","10.570414201183432","27.095236294896033","269.37128418549344","5.875"
"original","firstorder","Mean","43.315384615384616","91.9608695652174","649.5172413793103","23.875"
"original","firstorder","Median","43.0","86.0","633.0","23.5"
"original","firstorder","Minimum","7.0","32.0","96.0","15.0"
"original","firstorder","Range","104.0","176.0","1274.0","28.0"
"original","firstorder","RobustMeanAbsoluteDeviation","7.3584905660377355","19.030718336483936","202.8707466918715","3.1666666666666665"
"original","firstorder","RootMeanSquared","45.57149919040999","97.91950998030275","724.856014239594","25.241335146937057"
"original","firstorder","Skewness","1.079320314971767","0.8164802044710703","0.27242787820472625","1.3129187658647519"
"original","firstorder","TotalEnergy","269979.0","2205293.0","121896568.0","5097.0"
"original","firstorder","Uniformity","0.5","0.22680529300567112","0.02541617122473246","0.5"
"original","firstorder","Variance","200.53899408284022","1131.4289035916825","103543.59453032106","67.10937500000001"
"original","glcm","Autocorrelation","4.747998829000155","9.979541035958581","779.1378986548896","1.8928571428571428"
"original","glcm","ClusterProminence","1.3573711166207585","42.51451396959199","435561.76932298834","0.22321428571428573"
"original","glcm","ClusterShade","0.2988349799853616","4.675722399931977","-425.44055261286326","0.0"
"original","glcm","ClusterTendency","0.5457896425235225","3.0446312075788144","442.14357919370013","0.25"
"original","glcm","Contrast","0.715351184399593","3.217515159431817","220.735975963055","0.5714285714285714"
"original","glcm","Correlation","-0.10437687163986203","-0.034029021502598664","0.3369228529156937","-0.1904761904761902"
"original","glcm","DifferenceAverage","0.5475888877911426","1.341874363208425","12.152693877061306","0.5714285714285714"
"original","glcm","DifferenceEntropy","1.1316494704978735","1.986037512665626","4.668110645609824","0.2857142857142853"
